name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,real_city_name,text,icon,code
Recife,Pernambuco,Brazil,-8.05,-34.88,America/Recife,1700261957,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,28.0,82.4,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,80.0,E,1012.0,29.88,0.0,0.0,70.0,75.0,31.7,89.1,10.0,6.0,16.2,26.1,Recife,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Recife,Pernambuco,Brazil,-8.05,-34.88,America/Recife,1700261957,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,28.0,82.4,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,80.0,E,1012.0,29.88,0.0,0.0,70.0,75.0,31.7,89.1,10.0,6.0,16.2,26.1,Recife,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Jose Dos Campos,Sao Paulo,Brazil,-23.19,-45.88,America/Sao_Paulo,1700261958,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.3,90.1,10.0,6.0,6.1,9.8,São José dos Campos,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Jose Dos Campos,Sao Paulo,Brazil,-23.19,-45.88,America/Sao_Paulo,1700261958,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.3,90.1,10.0,6.0,6.1,9.8,São José dos Campos,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Paulo,Sao Paulo,Brazil,-23.53,-46.64,America/Sao_Paulo,1700261957,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.6,9.0,130.0,SE,1010.0,29.83,0.0,0.0,79.0,0.0,26.5,79.7,10.0,6.0,8.7,14.0,São Paulo,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Sao Paulo,Sao Paulo,Brazil,-23.53,-46.64,America/Sao_Paulo,1700261957,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.6,9.0,130.0,SE,1010.0,29.83,0.0,0.0,79.0,0.0,26.5,79.7,10.0,6.0,8.7,14.0,São Paulo,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Cacapava,Sao Paulo,Brazil,-23.1,-45.71,America/Sao_Paulo,1700261959,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.5,90.6,10.0,6.0,7.0,11.3,Caçapava,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cacapava,Sao Paulo,Brazil,-23.1,-45.71,America/Sao_Paulo,1700261959,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.5,90.6,10.0,6.0,7.0,11.3,Caçapava,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Isabel,Sao Paulo,Brazil,-23.21,-46.15,America/Sao_Paulo,1700261961,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.9,89.4,10.0,6.0,6.6,10.6,Igaratá,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Isabel,Sao Paulo,Brazil,-23.21,-46.15,America/Sao_Paulo,1700261961,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.9,89.4,10.0,6.0,6.6,10.6,Igaratá,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Jacarei,Sao Paulo,Brazil,-23.3,-45.97,America/Sao_Paulo,1700261962,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.9,89.4,10.0,6.0,6.6,10.6,Jacareí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Jacarei,Sao Paulo,Brazil,-23.3,-45.97,America/Sao_Paulo,1700261962,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.9,89.4,10.0,6.0,6.6,10.6,Jacareí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.2,90.0,10.0,6.0,5.6,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.2,90.0,10.0,6.0,5.6,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700261966,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.4,90.2,10.0,6.0,6.2,10.0,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700261966,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.4,90.2,10.0,6.0,6.2,10.0,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Campos do Jordão,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Campos do Jordão,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,Lagoinha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,Lagoinha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,23.0,73.4,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,140.0,SE,1006.0,29.69,0.0,0.0,76.0,11.0,25.0,77.1,10.0,6.0,7.0,11.3,Natividade da Serra,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,23.0,73.4,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,140.0,SE,1006.0,29.69,0.0,0.0,76.0,11.0,25.0,77.1,10.0,6.0,7.0,11.3,Natividade da Serra,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Pindamonhangaba,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Pindamonhangaba,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.2,81.0,10.0,6.0,5.6,9.1,Redenção da Serra,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.2,81.0,10.0,6.0,5.6,9.1,Redenção da Serra,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Santo Antônio do Pinhal,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Santo Antônio do Pinhal,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,São Bento do Sapucaí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,São Bento do Sapucaí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,São Luiz do Paraitinga,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,São Luiz do Paraitinga,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Taubate,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.4,81.3,10.0,6.0,7.0,11.3,Taubaté,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Taubate,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.4,81.3,10.0,6.0,7.0,11.3,Taubaté,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Tremembe,Sao Paulo,Brazil,-22.96,-45.55,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.5,12.1,Tremembé,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Tremembe,Sao Paulo,Brazil,-22.96,-45.55,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.5,12.1,Tremembé,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
